product_name,meaning,visual_note,visual_note_alt,olfactory_family
Victory,Perpaduan kelembutan bunga peony dan kesegaran mandarin orange,Floral / Peony,Peony/Citrus,FLORAL
White Sense,kesegaran bunga violet dan manis buah delima dan green apple,Floral / Violet,Violet / Apple,FLORAL
Woman In Red,kelembutan aroma bedak mawar,Floral / White Musk,White Musk / Rose,FLORAL
FOF,jeruk yuzu dengan perpaduan bunga,Floral / Yuzu,Yuzu / Floral,FLORAL
Darkness,kekuatan aroma endapan eucaliptus,Fresh Spicy / Agarwood,licorice / spicy,FRESH SPICY
Bamboo Cici,kesegaran rempah di tengah gurun,Fresh Spicy / Aldehyde,Aldehyde / Citrus,FRESH SPICY
Rouge Velaurs,aroma segar buah apel berpadu dengan aroma spicy,Fresh Spicy / Apple,Fruity / Spicy,FRESH SPICY
Add 5,perpaduan kesegaran buah buah apel hijau dan amber,Fresh Spicy / Basil,Basil / Amber,FRESH SPICY
Tacenda,Kesegaran perpaduan aroma lemon dan iris,Fresh Spicy / Bergamot,Mandarin Orange / Amber,FRESH SPICY
Rayon,kesegaran  dengan sentuhan bunga manis,Fresh Spicy / Black Cardamom,Cinnamon / Sage,FRESH SPICY
Dark Ages,perpaduan aroma grapefruit dan cardamom,Fresh Spicy / Cardamom,Cardamom / Oakmoss / Sandalwood,FRESH SPICY
Foreo Ice,perpaduan aroma buah nanas dan lavender,Fresh Spicy / Coriander,Vanilla / Rosemary,FRESH SPICY
Silk Blossom,kehangatan kayu gaharu di perapian,Fresh Spicy / Galbanum,Orange / Galbanum,FRESH SPICY
Dory,manis bunga dengan cardamom yang segar,Fresh Spicy / Jasmine,Aromatic / Jasmine,FRESH SPICY
King of Parties,aroma nanas minty dengan sentuhan pedas papper,Fresh Spicy / Kumquat,Citrus / Spicy,FRESH SPICY
Black Bond,kombinasi dari aroma rempah dan lavender dengan aroma citruses,Fresh Spicy / Lavender,Citrus / Lavender,FRESH SPICY
cinnabar,Sensasi segernya buah lemon,Fresh Spicy / Lemon,almond / lemon,FRESH SPICY
Deep Crush,aroma soft lavender berpadu mint dan segar,Fresh Spicy / Lemon Leaf,Citrus / Water,FRESH SPICY
Zero Two,kesegaran lime berpadu dengan kumpulan rempah,Fresh Spicy / Lime,Lime / Spicy,FRESH SPICY
Erost,sensasi aroma mint,Fresh Spicy / Mint,Mint / Aromatic,FRESH SPICY
Momento,Perpaduan aroma kumpulan rempah dan lavender kering,Fresh Spicy / Neroli,Neroli / Aromatic,FRESH SPICY
Usain Bolt,kelembutan aroma musky yang berpadu dengan hangat pala,Fresh Spicy / Nutmeg,Mint / Spicy,FRESH SPICY
Big Boss,Perpaduan aroma rose dan rempah,Fresh Spicy / Orange Blossom,Apple / Spicy,FRESH SPICY
Vagabond,aroma merica yang segar,Fresh Spicy / Pepper,Bergamot / Spicy,FRESH SPICY
Only You,Aroma nanas segar berpadu dengan asam bergamot,Fresh Spicy / Pineapple,Pineapple / Pepper,FRESH SPICY
Jeep Shine,aroma pahit kapulaga dipadukan dengan kemasaman buah plum,Fresh Spicy / Red Apple,Red Apple / Spicy,FRESH SPICY
Spice Up,rempah yang segar didalam hutan,Fresh Spicy / Red Pepper,spicy / woody,FRESH SPICY
Advens,aroma pekat dan segar rosemary,Fresh Spicy / Rosemary,Rosemary / Aromatic,FRESH SPICY
Mellifluous,creamy manis dari aroma nutmeg,Fresh Spicy / Saffron,Nutmeg / Saffron,FRESH SPICY
Just A Boy,Perpaduan Kesegaran Lemon dan Kelembutan Yuzu,Fresh Spicy / Yuzu,Citrus / Aromatic,FRESH SPICY
Great Police,aroma bunga violet yang pedas dan hangat,Fruity / Apple,Pepper / Amber,FRUITY
Calestial Citrus,perpaduan aroma manis creamy vanilla dan kesegaran bunga lily,Fruity / Apricot,Guava / White Floral,FRUITY
Tow Combination,Bkesegaran jeruk manis,Fruity / Bergamot,grapefruit / floral / Fruity,FRUITY
Vintage Vision,Perpaduan Aroma Segar Dan Manis Black Currant,Fruity / Black Currant,Blackcurrant / Magnolia,FRUITY
Blue Hills,kesegaran aroma buah peach,Fruity / Blood Orange,Peach / Rum,FRUITY
Forfive,Aroma permen karet,Fruity / Bubblegum,Bubblegum / Vanilla,FRUITY
Far From Home,perpaduan unik aroma buah dan bunga chamomile,Fruity / Chamomile,Chamomile / Fruity,FRUITY
Princess Charming,aroma segar irisan buah nanas,Fruity / Cherry,Cherry / Musk,FRUITY
Haruke,Aroma Bunga Sakura Segar Dipadukan Dengan Manis Apple Hijau,Fruity / Cherry Blossom,Cherry Blossom / Fresh,FRUITY
D sava,Aroma manis creamy vanilla ditambah kesegaran jeruk,Fruity / Cinnamon,Orange / Cinnamon,FRUITY
Ocean Lounge,Manisnya aroma Kelapa,Fruity / Coconut,Coconut / Fresh,FRUITY
Queen Star,Aroma kesegaran belimbing muda,Fruity / Cranberry,Cranberry / Rose,FRUITY
Perfect Girl,Aroma kesegaran buah melon,Fruity / Freesia,Melon / Lily,FRUITY
Axapollo,Aroma segar buah passionfruit,Fruity / Grapefruit,Passionfruit / Citrus,FRUITY
Hey Ma,nuansa segar apel hijau,Fruity / Green Apple,Green Apple / Citrus,FRUITY
Zimba,buah peach matang,Fruity / Jasmine,Peach / Cedar,FRUITY
Moon AA,Aroma pisang muda,Fruity / Kiwi,Kiwi / Green,FRUITY
Blanc Space,kesan manis aroma litchi,Fruity / Litchi,Litchi / Peony,FRUITY
Black Floral,Bunga lotus berpadu manis apel,Fruity / Lotus,Red Apple / Lotus,FRUITY
Temperature,Manis pekat buah Red Berry,Fruity / Mandarin Orange,Red Berry / Vanilla,FRUITY
Bewitching,kelembutan aroma semak mawar,Fruity / May Rose,May Rose / Powdery,FRUITY
Plat Low,aroma melon segar,Fruity / Melon,Melon / Vanilla,FRUITY
Aegen Si,keunikan nuansa buah casis wood,Fruity / Musk,Casis / Woody,FRUITY
Be Feminim,Kesegaran Buah Markisa Yang Manis Dan Lembut,Fruity / Passionfruit,Powdery / Passionfruit,FRUITY
Popular,Kesegaran buah peach yang lembut,Fruity / Peach,Peach / Powdery,FRUITY
Jellyfish,perpaduan aroma kesegaran buah pear dan water lily,Fruity / Pear,Kiwi / Lily,FRUITY
Alinenor,Kelembutan Manis Dari Nanas,Fruity / Pineapple,Pineapple / Fruity,FRUITY
My Angel,Perpaduan kesegaran aroma red berries dan bergamot,Fruity / Pink Pepper,Red Berries / Praline,FRUITY
Chosen,Perpaduan aroma rujak buah yang segar,Fruity / Pistachio,Mango / Pistachio,FRUITY
Yamato One,kesegaran aroma buah plum,Fruity / Plum,Plum / Citrus,FRUITY
eramusk,aroma khas buah berry,Fruity / Powdery,fruity / powdery,FRUITY
Ood Super,Aroma manis buah berries,Fruity / Raspberry,Raspbery / Rose,FRUITY
Dor Favor,kesegaran aroma apel berpadu dengan manis madu,Fruity / Red Apple,Apple / Citrus,FRUITY
Eifel,Kesegaran Buah Red Berry,Fruity / Red Berries,Red Berries / Sweet,FRUITY
Champion Man,Ketenangan embun pada kelopak bungan jasmine,Fruity / Rose,berries / floral,FRUITY
Silky Pink,Potongan buah melon dan apple,Fruity / Saffron,fruty / cinnamon,FRUITY
Fit Woman,kesegaran citrus berpadu buah red berry,Fruity / Sicilian Bergamot,Red Berry / Citrus,FRUITY
Twilight,aroma asam dan manis dari fermentasi buah cherry,Fruity / Sour Chery,Sour Cherry / Amber,FRUITY
Strong Girl,perpaduan aroma manis tebu dan kesegaran buah lemon,Fruity / Sugar Cane,Sugar Cane / Orange,FRUITY
Tunefull,Aroma manis khasblack currant,Fruity / Vanilla,Pear / Black Currants,FRUITY
XO Nine,sensasi kesegaran aroma rasberry,Fruity / Violet,Raspberry / Black Currant,FRUITY
Gotcha,Kesan Aroma Buah Semangka Segar Yang Manis,Fruity / Watermelon,Watermelon / Aquatic,FRUITY
Arouse,Aroma whipped cream apel,Fruity / Whipped Cream,Apple / Whipped Cream,FRUITY
Eternal Sunset,Aroma Khas Daun Dipadukan Kesegaran Buah Apel,Green / Apple,Green Leaf / Fruity,GREEN
In The Groove,Aroma Herbal Bunga Basil,Green / Basil,Basil / Spicy,GREEN
Omniscient,Aroma Daun Sirih,Green / Betel Leaf,Betel Leaf / Green,GREEN
Ford Leather,Daun Kemangi Yang Diremas,Green / Black Currant,Basil / Aromatic,GREEN
Boomtown,Perpaduan Aroma Mossy Dengan Aroma Kulit,Green / Cannabis,Cannabis / Aromatic,GREEN
London Love,Aroma Bunga Teh Segar,Green / Chamomile,Chamomile / Green,GREEN
Be Del Woman,Manis Aroma Daun Dengan Kesegaran Mentimun,Green / Cucumber,Cucumber / Fruity,GREEN
Road Spice,Aroma Daun Yang Baru Dipetik,Green / Fig Leaf,Fig Leaf / Green,GREEN
Artemis,Aroma Rerumputan Basah,Green / Grass,Grass / Citrus,GREEN
Dark Green,Aroma herbal dengan lemon yang segar,Green / lavender,Lavender / Fresh Spicy,GREEN
Forest,Perpaduan kesegaran citrus dengan woody yang pekat dengan kesan lembut jasmine,Green / Mandarin Orange,Green / Jasmine,GREEN
Mighty,Keunikan Aroma Khas Akar Teh Hijau,Green / Matcha Tea,Matcha Tea / Green,GREEN
Fresh Matcha,Aroma Matcha,Green / Mint,Green / Mint,GREEN
Gracias Garden,Kesegaran Aroma Kayu,Green / Orange,Orange / Woody,GREEN
Haystack,Aroma Tumpukan Jerami,Green / Straw,Straw / Aromatic,GREEN
Man in Green,Sensasi Pedas Aroma Daun Tembakau,Green / Tobbaco,Tobbaco / Green,GREEN
Passion Art,Keunikan Manis Dari Bunga Violet,Green / Violet,Violet / Fruity,GREEN
Floral Noir,Aroma kacang sangrai,Leather / Apricot,Leather / Jasmine / Musk,LEATHER
lost in space,Aroma Leather Yang Bold Dipadukan Dengan Kesan Mewah Bunga Mawar,Leather / Black Tea,Black Tea / Leather,LEATHER
Black Ford,Aroma jaket kulit tua,Leather / Cardamom,Leather / Cardamom / Patchouli,LEATHER
Sweaty Man,Kombinasi Aroma Citrus Dan Aroma Animalic,Leather / Green Tea,Leather / Green Tea,LEATHER
Secret Code,aroma dompet kulit baru,Leather / Juniper Berries,Saffron / Leather,LEATHER
Majesty,aroma amber yang khas,Leather / Labdanum,Amber / Leather,LEATHER
Fast and Furious,Aroma kulit yang direndam dengan cairan asam pelarut,Leather / Mandarin Orange,Grapefruit / Powder,LEATHER
Fiori Leys,Aroma Tangkai Bunga jasmine,Leather / Patchouli,Patchouli / Bergamot / Leather,LEATHER
silk safron,Perpaduan aroma kulit dan manis segar berry,Leather / Saffron,Leather / Saffron,LEATHER
Longlive,Sensasi perpaduan aldehydes dan musk,Musk Powdery / Aldehyde,Aldehyde / Musk,MUSK POWDERY
Milord,kayu kering yang menampung air,Musk Powdery / Black Currant,musky / citrus,MUSK POWDERY
Classy Bless,Perpaduan aroma lembut musky dengan dan spicy black pepper yang soft,Musk powdery / Black Pepper,Black Pepper / Powdery,MUSK POWDERY
Felice,Aroma Khas Bedak Bayi,Musk powdery / Fresh,Powdery / Fresh,MUSK POWDERY
CR 7,Sensasi segar lavender yang halus,Musk powdery / Lavender,Lavender / Warm Spicy,MUSK POWDERY
Blue Black,Aroma musky yang halus,Musk powdery / Lily,Musk / Lily,MUSK POWDERY
Liquid,Sensasi bubuk rempah hangat,Musk powdery / Mandarin Orange,Mandarin Orange / Powdery,MUSK POWDERY
Aqua Legend,Aroma matcha tea yang segar dan lembut,Musk powdery / Matcha Tea,Matcha Tea / Citrus,MUSK POWDERY
Badge,perpaduan  aroma oud dan segar bergamot,Musk Powdery / Saffron,Agarwood (Oud) / Warm Spicy,MUSK POWDERY
MIB,musk dengan aroma kuat kayu,Musk powdery / Violet,Powdery / Violet,MUSK POWDERY
Jeep White,Kelembutan buah semangka yang segar,Musk powdery / Watermelon,Watermelon / Musky,MUSK POWDERY
Head Turner,Aroma kelembutan tuberose yang manis,Musk powdery / Ylang Ylang,Tuberose / Woody,MUSK POWDERY
Heritage,Aroma Oud Yang Dipadukan Dengan Buah-Buahan,Oud / Agarwood,Amberwood / Tobacco,OUD
Ombredesire,Kemewahan aroma khas timur tengah,Oud / Amberwood,oud / leather,OUD
Oudhi,Perpaduan Aroma Oud Dan Amber,Oud / Cardamom,Oud / Cardamom,OUD
Oud Man,kesegaran aroma gaharu,Oud / Citrus,oud / citrus,OUD
Sandal an Oud,Aroma Elegan Kayu Gaharu Dengan Perpaduan Bunga Lavender Yang Menenangkan,Oud / Green,Green / Oud,OUD
Monarca,Keotentikan kayu gaharu yang khas,Oud / Lemon,Oud / Lemon,OUD
Forest Night,Kesan aroma betadine,Oud / Passionfruit,passionfruit / sweet,OUD
Beatrize,Aroma Perpaduan Tembakau Dan Amberwood,Oud / Patchouli,Tobacco / Patchouli,OUD
Oud Noir,Aroma khas agarwood yang elegan,Oud / Rose,Oud / rose,OUD
Musk Oud,aroma Madu Manis dan Kayu Gaharu,Oud / Rum,Rum / Incense,OUD
Vetiver Intense,Kemewahan Aroma Oud Yang Dipadukan Aroma Lavender Dan Safron,Oud / Saffron,Oud / Saffron,OUD
Blue Shine,Kemewahan gaharu,Oud / Sandalwood,oud / amber,OUD
Malika,Perpaduan Aroma Oud Dan Manis Creamy Vanilla,Oud / Tobacco,Tobacco / Oud,OUD
Bidden Rose,Aroma paduan mawar khas timur tengah,Oud / Vanilla,oud / vanilla,OUD
Qardashi,Aroma Oud Yang Berpadu Dengan Kesegaran Buah Peach,Oud / Wild Rose,Wild Rose / Musk,OUD
Groovy Glam,paduan manis mawar dengan black pepper,Red Floral / Agarwood,rose / oud,RED FLORAL
Devine,Keanggunan mawar manis,Red Floral / Amber,Rose / Sweet / Saffron,RED FLORAL
Pixie Petals,Paduan aroma mawar dengan buah yang segar,Red Floral / Blackcurrant,blackcurrant / rose,RED FLORAL
Rosella,Keindahan setangkai mawar merah,Red Floral / Bulgarian Rose,rose,RED FLORAL
Ebbio,kelembapan kayu pohon kopi yang terkubur,Red Floral / Coffe,rose / coffe,RED FLORAL
Scent Vintage,Kesegaran kelopak mawar,Red Floral / Damask Rose,pink peony / damask rose,RED FLORAL
White Luxury,Aroma mawar yang lembut sebelum layu,Red Floral / Freesia,freesia / pear / pomarose,RED FLORAL
Bright Sunshine,buket bunga mawar,Red Floral / Geranium,rose / geranium,RED FLORAL
Truly,aroma madu hutan,Red Floral / Honey,honey / rose,RED FLORAL
Ruby Red,Sensasi perasan lemon,Red Floral / Lemon,Lemon / Floral,RED FLORAL
Full Of Passion,Kelembutan aroma mawar yang manis,Red Floral / Litchi,Rose / Fruity,RED FLORAL
Charmile,Aroma bedak dengan sentuhan mawar,Red Floral / Mossy,Mossy / Rose,RED FLORAL
Marveiles,Paduan mawar yang dewasa,Red Floral / Myrtle,Woody / Rose,RED FLORAL
Green Steam,Setangkai mawar yang dipatahkan,Red Floral / Peach,black currant / turkish rose,RED FLORAL
Valesca,rekahan bunga mawar di pagi hari,Red Floral / Pomegranate,pomegranate / pink peony,RED FLORAL
Rose of The Vent,getah tangkai bunga mawar yang patah,Red Floral / Safron,Floral/ safron,RED FLORAL
Seven San,Keanggunan kuncup maqar putih,Red Floral / Sugar,rose / vanilla,RED FLORAL
Celindion Sensation,Aroma khas perpaduan bunga violet dan floral,Red Floral / Violet,violet / powdery,RED FLORAL
Gempita,manis sirup apple,Sweet / Apple,Apple / sweet,SWEET
Waka-Waka,Kelembutan Aroma Lime Vanilla,Sweet / Benzoin,Vanilla / Lime,SWEET
Mirage Moon,Aroma khas permen manis yang meleleh di lantai,Sweet / Bitter Almond,almond/woody,SWEET
Candy Night,Aroma jeruk manis dibaluti dengan creamy vanilla,Sweet / Bitter Orange,Orange / Vanilla,SWEET
Glitter Glam,Aroma permen buah segar,Sweet / Blackcurrant,Blackcurrant / Vanilla,SWEET
given sea,Kesegaran Aroma Madu,Sweet / Blood Orange,Citrus / Honey,SWEET
Callisto,aroma marshmallow yang dibakar,Sweet / Carrot Seeds,Bergamot / Powdery / Vanilla,SWEET
Goo Squid,aroma sirup buah manis,Sweet / Cassis,Vanilla / Freesia,SWEET
Cartir,Perpaduan Unik Buah Chery Dan Amber,Sweet / Cherry,Cherry / Amber,SWEET
Guci Gold,Aroma Kelapa Manis,Sweet / Coconut,Coconut / Sweet,SWEET
Sis Leys,aroma kopi susu dengan rempah yang hangat,Sweet / Coffe,Fruity / Coffee,SWEET
Ice Americano,Aroma kopi susu yang pekat,Sweet / Coffe Sugar,Coffe / Sugar,SWEET
Axcoffe,"Secangkir Kopi, Keotentikan Aroma Kopi",Sweet / Dark Chocolate,Coffe/Chocolate,SWEET
Black Cocain,Aroma Buah Tin Creamy,Sweet / Fig,Fig / Vanilla,SWEET
Collector's Edition,Perpaduan Kayu Caramel,Sweet / Freesia,Caramel / Woody,SWEET
Rose of The Sea,Kelopak bunga mawar terkena air hujan,Sweet / Ginger,woody / saffron,SWEET
Sweet Sunshine,Manisnya Bunga Peony,Sweet / Pink Peony,Fruity / Peony,SWEET
Queen Flowers,Kesegaran Aroma Buah Plum,Sweet / Plum,Plum / Floral / Citrus,SWEET
Born to Shine,"Gula Jawa, Aroma Popcorn",Sweet / Popcorn,Caramel / Milk,SWEET
Calypso,Sensasi Khas Aroma Rasberry,Sweet / Rasberry,Rasberry / Sweet,SWEET
Particless,Keotentikan Buah Litchi,Sweet / Red Berries,Litchi / Fruity,SWEET
Samericek,mewah vanilla woody,Sweet / Red currant,Cedar / Lily,SWEET
Black Mirage,Kemewahan saffron berbalut ketegasan amber,Sweet / Saffron,saffron / amber,SWEET
Dalal,Keaslian Aroma Gourmand,Sweet / Sandalwood,Caramel/ Vanilla,SWEET
Soxy,aroma buah melon,Sweet / Soybean,Vanilla/Melon,SWEET
She Walf,Sensasi Khas Aroma Buah Strawberry,Sweet / Strawberry,Strawberry / Floral,SWEET
Cassanova,Aroma Lembut Buah Plum,Sweet / Water Lily,Plum / Floral,SWEET
Milazombie,Aroma khas whiskey caramel,Sweet / Whiskey,Caramel / Whiskey,SWEET
Yiper,Kelembutan Aroma Bunga,Sweet / White Chocolate,Floral / Powder,SWEET
Heather Sweet,Kesegaran Bunga Iris Yang Manis,Sweet / Ylang Ylang,Iris / Fruity,SWEET
Luminous Lotus,Kelembutan Bunga Melati,White Floral  / Leather,Jasmine / Leather,WHITE FLORAL
Sweet Saphier,Perpaduan Aroma Manis Segar Madu Dengan Kelembutan Bunga Jasmine,White Floral / African Orange Flower,White Floral / Honey,WHITE FLORAL
Jongleuse,Aroma Soapy Melati Dipadukan Dengan Manis Dan Masam Bergamot,White Floral / Aldehyde,Aldehyde / White Floral,WHITE FLORAL
Clue Story,Aroma Yang Hangat Dari Perpaduan Almond Dan Pink Pepper,White Floral / Almond,White Floral / Almond,WHITE FLORAL
Days Girl,Kesegaran Bellflower Dipadukan Dengan Kehangatan Cengkeh,White Floral / Bellflower,Bellflower / Fresh Spicy,WHITE FLORAL
Nozomi,Aroma Rose Dan Asam Blackcurrant,White Floral / Bergamot,White Floral / Green,WHITE FLORAL
Spookie,Aroma Perpaduan Jasmine Dan Pear,White Floral / Bitter Orange,Neroli / Citrus / Pear,WHITE FLORAL
Still With You,Bunga Teh Yang Sedikit Pedas,White Floral / Earl Grey Tea,Earl Grey Tea / Green,WHITE FLORAL
Green Eternity,Aroma Sirup Apel Hijau,White Floral / Freesia,Green Apple/ Green,WHITE FLORAL
Unicorn Lady,Manisnya Bunga Gardenia Dan Buah-Buahan,White Floral / Gardenia,Gardenia / Fruity,WHITE FLORAL
Twicy,Perpaduan Kesegaran Aroma Bergamot Dan Kelembutan Tuberose,White Floral / Ginger,Tuberose / Spicy,WHITE FLORAL
High Lily,Sensasi Kesegaran Bunga Lily,White Floral / Lily Of The Valley,Lily Of The Valley / Fruity,WHITE FLORAL
Endless Love,Perpaduan Manis Litchi Dan Bunga Putih,White Floral / Litchi,Litchi / White Floral,WHITE FLORAL
Just A Girl,Keanggunan Aroma Bunga Cempaka Putih Dan Sedap Malam,White Floral / Lotus,Lotus / White Floral,WHITE FLORAL
Flower Mag,Aroma Bunga Kacapiring Wangi,White Floral / Magnolia,Magnolia / Citrus,WHITE FLORAL
Glowing Face,Kelembutan Aroma Lilin Bunga Neroli,White Floral / Neroli,Neroli / Orange Blossom,WHITE FLORAL
Baorela,semerbak singger pengantin,White Floral / Orange,Jasmine / orange,WHITE FLORAL
moonlit meadow,Perpaduan Aroma Segar Mandarine Orange Dengan Orange Blossom,White Floral / Orange Bloosom,Orange BloSSom / Sweet,WHITE FLORAL
